"id","title","time","director","year","star","cost"
3738,"Poligamy (English Subtitled)  ",,,,,"Buy SD $9.99,"
3739,"Danny Collins    ","1 hour, 48 minutes","Dan Fogelman",2015,"Al Pacino, Annette Bening","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $9.99,"
3740,"Mrs. Doubtfire    ","2 hours, 6 minutes","Chris Columbus",1993,"Robin Williams, Sally Field","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3741,"Injury Slight    ","1 hour, 21 minutes","Josh Baxter",2007,"Charles O'Sullivan","Buy SD $7.99,"
3742,"Late Marriage (English Subtitled)   ","1 hour, 26 minutes","Dover Koshashvili",2001,"Lior Ashkenazi, Ronit Elkabetz","Buy SD $9.99,"
3743,"Vacationland    ","1 hour, 45 minutes","Todd Verow",2006,"Brad Hallowell, Gregory J. Lucas","Buy SD $9.99,"
3744,"Kidnapped for Christ   ",,,,,"Rent SD $3.99,Buy SD $9.99,"
3745,"Far From the Madding Crowd "," 119 minutes ","Thomas Vinterberg",08/04/15,"Matthias Schoenaerts",$28.95
3746,"Lovesick    ","1 hour, 25 minutes","Luke Matheny",2015,"Matt LeBlanc, Ali Larter","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3747,"Beauty and the Least    ","1 hour, 26 minutes","Bryce Clark",2013,"Ben Banks, Katharine Towne","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3748,"The 9/11 Faker   ",,,,,"Buy SD $12.99,"
3749,"Dallas Buyers Club    ","1 hour, 58 minutes","Jean-Marc Vallée",2013,"Matthew McConaughey, Jennifer Garner","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3750,"Turning Point    ","1 hour, 43 minutes","Niyi Towolawi",2015,"Jackie Appiah, Igoni Archibong","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $6.99,"
3751,"The Shawshank Redemption    ","2 hours, 23 minutes","Frank Darabont",1994,"Tim Robbins, Morgan Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3752,"Fast & Furious 6-Movie Collection [Blu-ray] "," 952 minutes ","Rob Cohen",05/13/14,"Vin Diesel",$36.59
3753,"The Babadook    ","1 hour, 34 minutes","Jennifer Kent",2014,"Essie Davis, Noah Wiseman","Rent HD $4.99,Rent SD $3.99,Buy HD $7.99,Buy SD $7.99,"
3754,"Flat Top   ",,,,,
3755,"The Wire: The Complete Series "," 3645 minutes ","Various",11/29/11,"Various",$119.99
3756,"True Love    ","1 hour, 13 minutes","Michael J. Saul",2005,"John Ainsworth, Charlotte Ann","Buy SD $9.99,"
3757,"The Book Thief    ","2 hours, 10 minutes","Brian Percival",2013,"Roger Allam, Sophie Nélisse","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3758,"You Don't Know Jack    ","2 hours, 15 minutes","Barry Levinson",2010,"Al Pacino, Brenda Vaccaro","Buy HD $19.99,Buy SD $14.99,"
3759,"Where Hope Grows [DVD + Digital] "," 98 minutes ","Chris Dowling",08/25/15,"Danica McKellar",$12.96
3760,"Four Times That Night (English Subtitled)  ",,,,,
3761,"The Judge (2014)   ","2 hours, 22 minutes","David Dobkin",2014,"Robert Downey Jr., Robert Duvall","Buy HD $17.99,Buy SD $9.99,"
3762,"The Bishop's Wife "," 109 minutes ","Various",01/15/13,"Various",$9.79
3763,"Lost Christmas    ","1 hour, 37 minutes","John Hay",2014,"Eddie Izzard, Larry Mills","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $4.99,"
3764,"Bullhead (English Subtitled)   ","2 hours, 9 minutes","Michaël R. Roskam",2012,"Matthias Schoenaerts, Jeroen Perceval","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3765,"The Hobbit: An Unexpected Journey (Extended Edition)    ","3 hours, 3 minutes","Peter Jackson",2012,"Ian McKellen, Martin Freeman","Buy HD $14.99,Buy SD $14.99,"
3766,"Grease "," 111 minutes ","Randal Kleiser",09/19/06,"John Travolta",$3.74
3767,"It Happened One Night    ","1 hour, 46 minutes","Frank Capra",1934,"Clark Gable, Claudette Colbert","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3768,"The Lucky One    ","1 hour, 41 minutes","Scott Hicks",2012,"Zac Efron, Taylor Schilling","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3769,"The Outsiders    ","1 hour, 32 minutes","Francis Ford Coppola",1983,"C. Thomas Howell, Matt Dillon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3770,"Steve Jobs [Blu-ray] ",,"Danny Boyle",,,$24.99
3771,"Pride & Prejudice "," 129 minutes ","Joe Wright (IV)",02/28/06,"Keira Knightley",$5.09
3772,"Bloomington    ","1 hour, 23 minutes","Fernanda Cardoso",2010,"Allison McAtee, Sarah Stouffer","Rent SD $1.99,Buy SD $4.99,"
3773,"Little Shop of Horrors "," 94 minutes ","Frank Oz",11/03/09,"Rick Moranis",$9.14
3774,"A Lamp in the Dark: Untold History of the Bible - (2009)    ",,,2009,,"Buy SD $9.99,"
3775,"Saving Private Ryan (Sapphire Series)  [Blu-ray] "," 169 minutes ","Steven Spielberg",05/04/10,"Tom Hanks",$14.96
3776,"Bathory: Countess of Blood    ","2 hours, 21 minutes","Juraj Jakubisko",2008,"Anna Friel, Karel Roden","Rent SD $1.99,Buy HD $4.99,Buy SD $3.99,"
3777,"Eat Pray Love    ","2 hours, 21 minutes","Ryan Murphy",2010,"Julia Roberts, I. Gusti Ayu Puspawati","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3778,"Rocky: Heavyweight Collection (Rocky / Rocky II / Rocky III / Rocky IV / Rocky V / Rocky Balboa) [Blu-ray] "," 635 minutes ","Sylvester Stallone",02/11/14,"Sylvester Stallone",$31.76
3779,"St. Vincent "," 102 minutes ","Theodore Melfi",02/17/15,"Bill Murray",$9.99
3780,"Saving Private Ryan    ","2 hours, 50 minutes","Steven Spielberg",1998,"Tom Hanks, Tom Sizemore","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3781,"Apollo 13    ","2 hours, 21 minutes","Ron Howard",2008,"Tom Hanks, Bill Paxton","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3782,"Now You See Me    ","1 hour, 56 minutes","Louis Leterrier",2013,"Jesse Eisenberg, Mark Ruffalo","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $14.99,"
3783,"Jupiter Ascending "," 127 minutes ","Lana Wachowski",06/02/15,"Channing Tatum",$10.92
3784,"Expecting    ","1 hour, 28 minutes","Jessie McCormack",2013,"Michelle Monaghan, Radha Mitchell","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3785,"Diary of a Tired Black Man    ","1 hour, 48 minutes","Tim Alexander",2009,"Jimmy Jean-Louis, Paula Lema","Buy SD $9.99,"
3786,"Take This Waltz    ","1 hour, 56 minutes","Sarah Polley",2012,"Michelle Williams, Seth Rogen","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3787,"Whiplash [Blu-ray] "," 107 minutes ","Damien Chazelle",02/24/15,"J.K. Simmons",$14.99
3788,"The Girlfriend Experience    ","1 hour, 18 minutes","Steven Soderbergh",2009,"Sasha Grey, Chris Santos","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3789,"Still Alice    ","1 hour, 42 minutes","Richard Glatzer",2015,"Julianne Moore, Kate Bosworth","Buy HD $14.99,Buy SD $12.99,"
3790,"Insidious "," 103 minutes ","James Wan",07/12/11,"Patrick Wilson",$4.99
3791,"The Congress    ","2 hours, 3 minutes","Ari Folman",2013,"Robin Wright, Harvey Keitel","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3792,"Remember The Titans    ","1 hour, 54 minutes","Boaz Yakin",2000,"Denzel Washington, Will Patton","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3793,"The Garden Of Earthly Delights    ","1 hour, 44 minutes","Lech Majewski",2004,"Claudine Spiteri, Chris Nightingale","Buy SD $12.99,"
3794,"The Twilight Saga:  New Moon    ","2 hours, 11 minutes","Chris Weitz",2009,"Kristen Stewart, Christina Jastrzembska","Buy HD $14.99,Buy SD $13.99,"
3795,"Hitlers Eastern Front: Army Group South    ",,,2009,,"Buy SD $9.99,"
3796,"Low Down    ","1 hour, 55 minutes","Jeff Preiss",2014,"John Hawkes, Elle Fanning","Rent HD $0.99,Rent SD $0.99,Buy HD $9.99,Buy SD $7.99,"
3797,"Dracula Untold (Blu-ray + DVD + DIGITAL HD with UltraViolet) "," 93 minutes ","Gary Shore",02/03/15,"Luke Evans",$12.99
3798,"Bad News Bears Go To Japan    ","1 hour, 33 minutes","John Berry",1978,"Tony Curtis, Jackie Earle Haley","Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3799,"Gloria ('14)   ","2 hours, 8 minutes","Christian Keller",2015,"Sofia Espinosa,Marco Perez","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
3800,"Blue Lagoon: The Awakening Unrated   ",,,,,"Buy SD $9.99,"
3801,"KGB Connections    ","2 hours, 11 minutes","Martyn Burke",2011,"Harold Brown, Nikita Khrushchev","Buy SD $4.99,"
3802,"The Theory of Everything "," 124 minutes ","James Marsh",02/17/15,"Eddie Redmayne",$7.77
3803,"Asylum    ","1 hour, 40 minutes","David Mackenzie",2005,"Natasha Richardson, Hugh Bonneville","Rent SD $2.99,Buy SD $9.99,"
3804,"From the Head    ","1 hour, 33 minutes","George Griffith",2012,"George Griffith, Matthew Lillard","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3805,"The End of the Tour [DVD + Digital] "," 106 minutes ","James Ponsoldt",11/03/15,"Jesse Eisenberg",$12.99
3806,"Camembert Rose (English Subtitled)   ","1 hour, 31 minutes","Barnabás Tóth",2009,"Barnabás Tóth, Zoltán Bezerédy","Buy SD $9.99,"
3807,"The Wedding Ringer    ","1 hour, 42 minutes","Jeremy Garelick",2015,"Kevin Hart, Josh Gad","Buy HD $14.99,Buy SD $12.99,"
3808,"The Last Dragon [Blu-ray] "," 108 minutes ","Michael Schultz",08/25/15,"Faith Prince",$9.99
3809,"Melo (English Subtitled)   ","2 hours, 1 minute","Roy Lee",2012,"Kim Hye-na,Lee Sun-ho","Rent SD $1.99,Buy HD $7.99,Buy SD $6.99,"
3810,"Gradiva (English Subtitled)   ","1 hour, 54 minutes","Alain Robbe-Grillet",2007,"James Wilby, Arielle Dombasle","Buy SD $9.99,"
3811,"Slaughterhouse    ","1 hour, 26 minutes","Rick Roessler",1987,"Joe Barton,Sherry Bendorff","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3812,"A View from a Hill    ","40 minutes","Luke Watson",2005,"Mark Letheren, Pip Torrens","Buy SD $7.99,"
3813,"Thor [DVD] "," 114 minutes ","Kenneth Branagh",09/24/13,,$14.99
3814,"Universal Classic Monsters: The Essential Collection [Blu-ray] "," 710 minutes ",,10/02/12,"Boris Karloff",$67.73
3815,"The Kitchen    ","1 hour, 20 minutes","Ishai Setton",2012,"Laura Prepon, Bryan Greenberg","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3816,"Wuthering Heights   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3817,"Semper Fight    ","1 hour, 17 minutes","Antone Anania",2014,"Michael Anderson, Shanna Beauchamp","Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
3818,"Ambrosia   ",,,,,"Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3819,"The Departed    ","2 hours, 32 minutes","Martin Scorsese",2006,"Leonardo DiCaprio, Matt Damon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3820,"Apollo 13 [Blu-ray] "," 140 minutes ","Ron Howard",06/02/15,"Tom Hanks",$10.00
3821,"What matters most   ",,,,,"Buy SD $3.99,"
3822,"Somewhere in Time (Collector's Edition) "," 104 minutes ","Jeannot Szwarc",10/31/00,"Christopher Reeve",$5.00
3823,"Apocalypse Now Redux    ","3 hours, 16 minutes","Francis Ford Coppola",1979,"Marlon Brando, Martin Sheen","Rent HD $3.99,Rent SD $2.99,Buy HD $18.99,Buy SD $17.99,"
3824,"Burlesque    ","2 hours, 0 minutes","Steve Antin",2010,"Cher, Christina Aguilera","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3825,"Do You Believe?    ","2 hours, 0 minutes","Jon Gunn",2015,"Senyo Amoaku, Sean Astin","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3826,"Remember the Titans (Widescreen Edition) "," 113 minutes ","Boaz Yakin",03/20/01,"Denzel Washington",$9.99
3827,"Three Sisters   ",,,,,
3828,"Into The Woods (Theatrical)    ","2 hours, 5 minutes","Rob Marshall",2014,"Anna Kendrick, Daniel Huttlestone","Buy HD $19.99,Buy SD $14.99,"
3829,"Extase (English Subtitled)  ",,,,,"Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3830,"Straightman    ","1 hour, 41 minutes","Ben Berkowitz",1999,"Ben Redgrave, Ben Berkowitz","Buy SD $9.99,"
3831,"The Wind Rises [Blu-ray] "," 135 minutes ",,11/18/14,"Joseph Gordon-Levitt",$21.99
3832,"Lost Paradise (English Subtitled)   ","1 hour, 28 minutes","Ève Deboise",2012,"Pauline Etienne, Olivier Rabourdin","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3833,"Kiki's Delivery Service [Blu-ray] "," 105 minutes ","Hayao Miyazaki",11/18/14,"Kirsten Dunst",$21.99
3834,"The Hustler    ","2 hours, 15 minutes","Robert Rossen",1961,"Paul Newman, Jackie Gleason","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3835,"You Cast A Spell On Me    ","1 hour, 27 minutes","Tosca Musk",2015,"Nikki Deloach,Ryan McPartlin","Rent HD $3.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3836,"St. Vincent    ","1 hour, 42 minutes","Theodore Melfi",2014,"Bill Murray, Melissa McCarthy","Buy HD $9.99,Buy SD $9.99,"
3837,"Relations (English Subtitled)   ","1 hour, 20 minutes","Dunya Smirnova",2006,"Mikhail Porechenkov,Anna Mikhalkova","Buy SD $6.99,"
3838,"Convict    ","1 hour, 42 minutes","David Field",2015,"David Field,George Basha","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
3839,"Army of Darkness    ","1 hour, 22 minutes","Sam Raimi",1993,"Bruce Campbell, Embeth Davidtz","Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
3840,"Elizabeth's Gift    ","1 hour, 26 minutes","Rob Diamond",2015,"Kari Hawker,Paul Hunt","Rent SD $3.99,Buy SD $9.99,"
3841,"A Little Chaos (DVD) "," 113 minutes ","Alan Rickman",08/04/15,"Kate Winslet",$10.99
3842,"The Zulu War    ","43 minutes","Bob Carruthers",2014,"Kingsley Glover,Amy - Louise James","Buy SD $9.99,"
3843,"Raising Jeffrey Dahmer    ","1 hour, 26 minutes","Rich Ambler",2006,"Bo Svenson, Scott Cordes","Buy SD $5.99,"
3844,"Bronson   ",,,,,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3845,"The Red Baron    ","1 hour, 46 minutes","Nikolai Müllerschön",2008,"Tomás Koutník, Tomás Ibl","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3846,"American Hustle    ","2 hours, 19 minutes","David O. Russell",2013,"Christian Bale, Bradley Cooper","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3847,"American Mustang   ",,,,,"Rent HD $4.99,Rent SD $3.99,Buy HD $13.99,Buy SD $13.99,"
3848,"A Perfect Day    ","1 hour, 31 minutes","Peter Levin",2006,"Rob Lowe, Frances Conroy","Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
3849,"Gandhi    ","3 hours, 12 minutes","Richard Attenborough",1982,"Ben Kingsley, Candice Bergen","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3850,"A Beautiful Mistake (English Subtitled)   ","1 hour, 26 minutes","Marc Evans",2010,"James Dean Bradfield, Huw Bunford","Buy SD $7.99,"
3851,"Meek's Cutoff    ","1 hour, 43 minutes","Kelly Reichardt",2011,"Michelle Williams, Bruce Greenwood","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3852,"The Help "," 146 minutes ","Tate Taylor",12/06/11,"Emma Stone",$11.99
3853,"Do Me Love (English Subtitled)   ","1 hour, 22 minutes","Lou Viger",2011,"Christine Armanger,Lizzie Brocheré","Buy SD $9.99,"
3854,"Sherlock Holmes & The Woman In Green    ","1 hour, 9 minutes","Roy William Neill",1945,"Basil Rathbone, Nigel Bruce","Buy SD $3.99,"
3855,"Secondhand Lions (2003)    ","1 hour, 50 minutes","Tim McCanlies",2003,"Michael Caine, Robert Duvall","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3856,"[Featurette] Salt - The Ultimate Female Action Hero   ",,,,,
3857,"The Grand Budapest Hotel [Blu-ray] "," 120 minutes ","Wes Anderson",06/17/14,"Ralph Fiennes",$24.98
3858,"McFarland, USA (Theatrical)    ","2 hours, 9 minutes","Niki Caro",2015,"Kevin Costner, Ramiro Rodriguez","Buy HD $19.99,Buy SD $14.99,"
3859,"Titanic "," 194 minutes ","James Cameron",09/10/12,"Leonardo DiCaprio",$8.49
3860,"Faith of Our Fathers ",,,10/13/15,"Stephen Baldwin",$7.95
3861,"Days of Heaven    ","1 hour, 34 minutes","Terrence Malick",1978,"Richard Gere, Brooke Adams","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3862,"The Gunman    ","1 hour, 56 minutes","Pierre Morel",2015,"Sean Penn, Jasmine Trinca","Rent HD $5.99,Rent SD $4.99,Buy HD $12.99,Buy SD $9.99,"
3863,"The Dark Knight Trilogy (Batman Begins / The Dark Knight / The Dark Knight Rises) [Blu-ray] "," 456 minutes ","Christopher Nolan",12/04/12,"Christian Bale",$39.00
3864,"Seal Team VI: Journey Into Darkness    ","1 hour, 35 minutes","Mark C. Andrews",2010,"Jeremy Davis, Ken Gamble","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
3865,"I'Ve Always Loved You   ",,,,,
3866,"Les Misérables "," 158 minutes ","Tom Hooper",03/22/13,"Hugh Jackman",$6.99
3867,"The Best Exotic Marigold Hotel "," 124 minutes ","John Madden",09/18/12,"Maggie Smith",$13.96
3868,"Kinky Boots    ","1 hour, 47 minutes","Julian Jarrold",2006,"Joel Edgerton, Chiwetel Ejiofor","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
3869,"What Just Happened    ","1 hour, 44 minutes","Barry Levinson",2008,"Robert De Niro, Sean Penn","Buy SD $9.99,"
3870,2012,"2 hours, 39 minutes","Roland Emmerich",2009,"John Cusack, Amanda Peet","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3871,"Great Land Battles of the 20th Century    ",,,2014,,"Buy SD $9.99,"
3872,"Just Go With It    ","1 hour, 57 minutes","Dennis Dugan",2011,"Adam Sandler, Jennifer Aniston","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3873,"Wreckers    ","1 hour, 25 minutes","Dictynna Hood",2013,"Claire Foy, Benedict Cumberbatch","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3874,"TCM Greatest Classic Films Collection: John Wayne Westerns (The Cowboys / Fort Apache / Rio Bravo / The Searchers) "," 519 minutes ","John Ford",05/05/09,"John Wayne",$9.53
3875,"5 Flights Up "," 93 minutes ","Richard Loncraine",07/07/15,"Morgan Freeman",$10.99
3876,"A Very Natural Thing    ","1 hour, 26 minutes","Christopher Larkin",1974,"Robert McLane, Curt Gareth","Buy SD $9.99,"
3877,"Ravenous    ","1 hour, 41 minutes","Antonia Bird",1999,"Guy Pearce, Robert Carlyle","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3878,"If I Stay "," 107 minutes ","R.J. Cutler",11/18/14,"Chloe Grace Moretz",$11.98
3879,"Persuasion    ","1 hour, 48 minutes","Roger Michell",1995,"Amanda Root, Ciarán Hinds","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
3880,"Julie & Julia    ","2 hours, 4 minutes","Nora Ephron",2009,"Meryl Streep, Amy Adams","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3881,"The Stanford Prison Experiment "," 122 minutes ","Kyle Patrick Alvarez",11/17/15,"Billy Crudup",$19.99
3882,"And Then There Were None - 1945    ","2 hours, 0 minutes","René Clair",2011,"Barry Fitzgerald, Walter Huston","Buy SD $5.99,"
3883,"I Witness    ","1 hour, 39 minutes","Rowdy Herrington",2003,"Jeff Daniels, James Spader","Buy SD $3.99,"
3884,"5 Flights Up    ","1 hour, 30 minutes","Richard Loncraine",2015,"Morgan Freeman, Diane Keaton","Buy HD $14.99,Buy SD $14.99,"
3885,"Joseph Smith: The Prophet Of The Restoration    ",,,2013,,"Buy SD $7.99,"
3886,"Cast Away    ","2 hours, 24 minutes","Robert Zemeckis",2000,"Paul Sanchez, Lari White","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3887,"Into It    ","1 hour, 24 minutes","Jeffrey Maccubbin",2006,"Bradley Baloff, Richard Jones","Buy SD $9.99,"
3888,"The Broken Circle Breakdown (English Subtitled)    ","1 hour, 52 minutes","Felix van Groeningen",2014,"Johan Heldenbergh, Veerle Baetens","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3889,"The Devil's Backbone (Criterion Collection) [Blu-ray] "," 108 minutes ","Guillermo del Toro",07/30/13,"Marisa Paredes",$22.49
3890,"Gangs Of New York    ","2 hours, 47 minutes","Martin Scorsese",2003,"Leonardo DiCaprio, Daniel Day-Lewis","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
3891,"The Newsroom: Cast and Creators Live at PALEYFEST    ","1 hour, 27 minutes","The Paley Center for Media",2013,"Jeff Daniels,Emily Mortimer","Rent SD $4.99,Buy HD $10.99,Buy SD $10.99,"
3892,"Kansas Pacific   ",,,,,
3893,"I'm Losing You    ","1 hour, 43 minutes","Bruce Wagner",1999,"Frank Langella, Daniel von Bargen","Rent SD $2.99,Buy SD $9.99,"
3894,"Paranormal Activity 2    ","1 hour, 32 minutes","Tod Williams",2010,"David Bierend, Brian Boland","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
3895,"The Ghost and Mrs. Muir "," 104 minutes ","Joseph L. Mankiewicz",04/01/03,"Gene Tierney",$7.99
3896,"The Raid 2 [Blu-ray] "," 150 minutes ","Gareth Evans",07/08/14,"Iko Uwais",$9.99
3897,"Pearl Harbor "," 183 minutes ","Michael Bay",12/04/01,"Ben Affleck",$9.79
3898,"Only the Lonely "," 105 minutes ",,01/03/12,,$6.45
3899,"Camp Belvidere    ","39 minutes","Astrid Ovalles",2014,"Molly Way, Astrid Ovalles",
3900,"Stoker [Blu-ray] "," 120 minutes ",,06/18/13,"Nicole Kidman",$6.49
3901,"The Truman Show    ","1 hour, 43 minutes","Peter Weir",1998,"Jim Carrey, Laura Linney","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3902,"Manhunter [Blu-ray] "," 120 minutes ",,09/13/11,,$4.99
3903,"Silver Linings Playbook "," 122 minutes ","David O. Russell",04/30/13,"Bradley Cooper",$5.00
3904,"Dawn of the Planet of the Apes [Blu-ray] "," 131 minutes ",,12/02/14,"Gary Oldman",$17.85
3905,"Renoir (English Subtitled)   ","1 hour, 52 minutes","Gilles Bourdos",2013,"Michel Bouquet, Christa Théret","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3906,"Return to Snowy River "," 99 minutes ","Geoff Burrowes",04/22/03,"Tom Burlinson",$7.50
3907,"Dear John: Military in Movies: Dear John's Military Advisors   ",,,,,
3908,"Cocaine Fiends, The   ",,,,,
3909,"Full Metal Jacket    ","1 hour, 57 minutes","Stanley Kubrick",1987,"Matthew Modine, Adam Baldwin","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3910,"Sense & Sensibility (Special Edition) "," 136 minutes ","Ang Lee",08/24/99,"James Fleet",$7.88
3911,"Last Will   ",,,,,"Buy SD $9.99,"
3912,"Juno    ","1 hour, 37 minutes","Jason Reitman",2007,"Ellen Page, Michael Cera","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3913,"The Things Between Us [English Subtitled]    ","1 hour, 32 minutes","Iris Janssen",2008,"Daniela Wutte, Christoph Jacobi","Buy SD $9.99,"
3914,"Eden Log    ","1 hour, 43 minutes","Franck Vestiel",2007,"Clovis Cornillac, Vimala Pons","Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3915,"The Living    ","1 hour, 32 minutes","Jack Bryan",2015,"Fran Kranz, Jocelin Donahue","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
3916,"A Few Good Men    ","2 hours, 18 minutes","Rob Reiner",1992,"Tom Cruise, Jack Nicholson","Buy HD $11.99,Buy SD $7.99,"
3917,"Shining Through    ","2 hours, 13 minutes","David Seltzer",1992,"Michael Douglas, Melanie Griffith","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
